參與者編號,中央結算系統參與者名稱 (*即願意披露的投資者戶口持有人),地址,持股量,佔已發行股份/權證/單位百分比
B01552,嘉利證券投資有限公司,FLAT 1A 1/F MAN HING COMMERCIAL BUILDING 79-83 QUEEN'S ROAD CENTRAL CENTRAL HONG KONG,"29,600",0.00%
B01445,勝利證券有限公司,RM 1101-3 11/F YARDLEY COMMERCIAL BLDG 3 CONNAUGHT ROAD WEST SHEUNG WAN HONG KONG,"28,600",0.00%
B01509,益群證券有限公司,RM 502 GENERAL COMMERCIAL BUILDING 156-164 DES VOEUX ROAD CENTRAL HONG KONG,"26,200",0.00%
B01450,佐雄證券有限公司,1/F WING'S BLDG 110-116 QUEEN'S ROAD CENTRAL HONG KONG,"25,400",0.00%
B01158,堅固證券有限公司,UNITS 1205-6 12/F WEST TOWER SHUN TAK CENTRE 200 CONNAUGHT ROAD CENTRAL HONG KONG,"24,800",0.00%
B01351,永豐證券有限公司,UNIT 1001-8 10/F COSCO TOWER GRAND MILLENNIUM PLAZA 183 QUEEN'S ROAD CENTRAL CENTRAL HONG KONG,"24,800",0.00%
B01213,萬利證券有限公司,6TH FLOOR MALAHON CENTRE 8-12 STANLEY STREET CENTRAL HONG KONG,"24,000",0.00%
B01976,方達資本管理有限公司,UNITS 3201-3203 32/F BANK OF AMERICA TOWER 12 HARCOURT ROAD CENTRAL HONG KONG,"23,000",0.00%
B01705,恒億證券有限公司,UNIT 901 9/F WORKINGTON TOWER 78 BONHAM STRAND SHEUNG WAN HONG KONG,"22,800",0.00%
B01939,東吳證券國際經紀有限公司,LEVEL 17 THREE PACIFIC PLACE 1 QUEEN'S ROAD EAST HONG KONG,"22,100",0.00%
B01563,信控國際證券有限公司,ROOMS 1703-04 17/F YF LIFE CENTRE NO 38 GLOUCESTER ROAD WAN CHAI HONG KONG,"21,600",0.00%
B01810,阿仕特朗資本管理有限公司,RM 2704 TOWER 1 ADMIRALTY CENTRE 18 HARCOURT ROAD ADMIRALTY HONG KONG,"21,400",0.00%
B01788,齊榮證券有限公司,RM 701-702 YUE SHING COMMERCIAL BUILDING 15 QUEEN VICTORIA STREET CENTRAL HONG KONG,"20,400",0.00%
B02155,亞丁金融集團有限公司,14/F SHANGHAI COMMERCIAL BANK TOWER 12 QUEEN'S ROAD CENTRAL CENTRAL HONG KONG,"20,400",0.00%
B01577,怡發證券有限公司,11/F CMA BUILDING 64-66 CONNAUGHT ROAD CENTRAL HONG KONG,"20,100",0.00%
B02181,大唐資本證券有限公司,21/F SILVER FORTUNE PLAZA 1 WELLINGTON STREET CENTRAL HONG KONG,"20,000",0.00%
B01941,中原證券有限公司,SUITES 805-806 8/F SOUTH TOWER WORLD FINANCE CENTRE HARBOUR CITY 17-19 CANTON ROAD TSIMSHATSUI KOWLOON,"19,800",0.00%
B01439,大德證券(亞洲)有限公司,707A WING ON HOUSE 71 DES VOEUX ROAD CENTRAL HONG KONG,"18,800",0.00%
B01592,百德能經紀有限公司,21/F LHT TOWER 31 QUEEN'S ROAD CENTRAL HONG KONG,"18,500",0.00%
B01588,利星行證券有限公司,8/F NEW WORLD TOWER I 18 QUEEN'S ROAD CENTRAL HONG KONG,"18,400",0.00%
B01849,順安證券資產管理有限公司,21/F CENTRE POINT 181-185 GLOUCESTER ROAD WANCHAI HONG KONG,"18,400",0.00%
B02185,韓國投資證券亞洲有限公司,SUITES 3716-3719 JARDINE HOUSE 1 CONNAUGHT PLACE CENTRAL HONG KONG,"18,000",0.00%
B01356,匯業證券有限公司,5/F LUK KWOK CENTRE 72 GLOUCESTER ROAD WANCHAI HONG KONG,"17,700",0.00%
B01925,邦盟滙駿證券有限公司,SUITES 2701-2708 27/F SHUI ON CENTRE 6-8 HARBOUR ROAD WANCHAI HONG KONG,"17,100",0.00%
B02141,新永安國際證券有限公司,UNITS 3511-15 35/F COSCO TOWER GRAND MILLENNIUM PLAZA 183 QUEEN'S ROAD CENTRAL HONG KONG,"17,000",0.00%
B01875,國都證券(香港)有限公司,RM 1307 13/F BANK OF AMERICA TOWER 12 HARCOURT ROAD CENTRAL HONG KONG,"16,500",0.00%
B01978,方正證券(香港)有限公司,ROOM 801-02 8/F SHANGHAI INDUSTRIAL INVESTMENT BUILDING 48-62 HENNESSY ROAD WAN CHAI HONG KONG,"16,100",0.00%
B01231,騰達證券有限公司,ROOM B 5/F JADE CENTRE 98 WELLINGTON STREET CENTRAL HONG KONG,"15,500",0.00%
B01582,晉安証券有限公司,17/F BANK OF EAST ASIA HARBOUR VIEW CENTRE 56 GLOUCESTER ROAD WANCHAI HONG KONG,"15,000",0.00%
B01123,興旺證券有限公司,19/F UNIT A UNITED CENTRE 95 QUEENSWAY HONG KONG,"14,900",0.00%
B01773,東洋証券亞洲有限公司,SUITES 2301-02 & 16 23/FL CITY PLAZA ONE 1111 KING'S ROAD TAIKOO SHING HONG KONG,"14,600",0.00%
B01433,興偉聯合證券有限公司,RM 2902-2903 118 CONNAUGHT ROAD WEST HONG KONG,"14,400",0.00%
B01963,天風國際證券與期貨有限公司,16/F TWO PACIFIC PLACE 88 QUEENSWAY ADMIRALTY HONG KONG,"13,700",0.00%
B01514,高信證券有限公司,RM 607-610 6/F TAI YAU BUILDING 181 JOHNSTON ROAD WANCHAI HONG KONG,"13,400",0.00%
B01710,中順證券期貨有限公司,UNIT 2205-06 22/F GLOBAL TRADE SQUARE 21 WONG CHUK HANG ROAD HONG KONG,"12,500",0.00%
B01696,亨達証券有限公司,12/F SOUTH CHINA BUILDING 1-3 WYNDHAM STREET CENTRAL HONG KONG,"12,200",0.00%
B02075,創陞證券有限公司,UNIT A-C 20/F NEICH TOWER 128 GLOUCESTER ROAD WANCHAI HONG KONG,"12,000",0.00%
B01853,民銀證券有限公司,45/F ONE EXCHANGE SQUARE 8 CONNAUGHT PLACE CENTRAL HONG KONG,"11,100",0.00%
B01777,大和資本市場香港有限公司,LEVEL 26 ONE PACIFIC PLACE 88 QUEENSWAY HONG KONG,"10,600",0.00%
B01949,華業證券有限公司,RM 503 5/F LOKE YEW 50-52 QUEEN'S ROAD CENTRAL CENTRAL HONG KONG,"10,600",0.00%
B01923,伯克希爾資本有限公司,UNIT 1706 TOWER 1 CHINA HONG KONG CITY 33 CANTON ROAD TSIM SHA TSUI KOWLOON,"10,200",0.00%
B01401,萬達基證券有限公司,RM 608-609 6/F ONE ISLAND SOUTH 2 HEUNG YIP ROAD HONG KONG,"10,000",0.00%
B01833,中國信託綜合證券(香港)有限公司,RM 2809 28/F TWO INTERNATIONAL FINANCE CENTRE 8 FINANCE STREET CENTRAL HONG KONG,"10,000",0.00%
B01957,鼎石證券有限公司,ROOM 1608 16/F NAN FUNG TOWER 88 CONNAUGHT ROAD CENTRAL CENTRAL HONG KONG,"10,000",0.00%
B01958,瑭明金融集團有限公司,ROOMS 2709-12 27/F WING ON CENTRE 111 CONNAUGHT ROAD CENTRAL HONG KONG,"10,000",0.00%
B02060,力高證券有限公司,ROOM 1506 15/F WHEELOCK HOUSE 20 PEDDER STREET CENTRAL HONG KONG,"10,000",0.00%
B02078,上高證券有限公司,ROOM 06 11/F EMPEROR GROUP CENTRE 288 HENNESSY ROAD WAN CHAI HONG KONG,"10,000",0.00%
B02096,高鉦証券有限公司,RM B 17/F FORTUNE HOUSE 61 CONNAUGHT ROAD CENTRAL CENTRAL HONG KONG,"10,000",0.00%
B01340,利興股票有限公司,UNIT 1007 10/F CHINA INSURANCE GROUP BUILDING 141 DES VOEUX ROAD CENTRAL CENTRAL HONG KONG,"9,805",0.00%
B01481,恆盛證券有限公司,"2907-2909,2912,2914 WING ON HOUSE 71 DES VOEUX ROAD CENTRAL CENTRAL HONG KONG","9,000",0.00%
